Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
C,63.0,"Mays, Cooper SR",,54.0,"Lang, Vysen RS FR",,50.0,"Satterwhite, William FR",,,,,,,
RG,76.0,"Spraggins, Javontez SR",,75.0,"Lampley, Jackson RS SR",,64.0,"Bussell, Ayden RS FR",,73.0,"Grant, Brian RS SO",,,,
RT,74.0,"Campbell Jr., John RS SR/TR",,66.0,"Davis, Dayne RS SR",,65.0,"Duncan, Trevor RS FR",,72.0,"Perry, Jesse FR",,,,
TE,87.0,"Kitselman, Miles SR/TR",,0.0,"Davis, Ethan RS FR",,19.0,"Staes, Holden JR/TR",,86.0,"Harrison, Cole FR",,88.0,"Browder, Charlie RS JR/TR",
QB,8.0,"Iamaleava, Nico RS FR",,13.0,"Moore, Gaston RS SR/TR",,12.0,"Merklinger, Jake FR",,21.0,"Shuler, Navy RS SR/TR",,15.0,"Damron, Ryan RS FR",
RB,6.0,"Sampson, Dylan JR",,25.0,"Bishop, DeSean RS FR",,22.0,"Lewis, Peyton FR",,20.0,"Keith, Khalifa SO",,28.0,"Wilk, Patrick RS JR",
DEF,,,,,,,,,,,,,,,
DE,90.0,"Bailey, Dominic RS SR",,42.0,"West, Tyre JR",,97.0,"Jenkins, Jayson RS SO",,18.0,"Weathersby, Tyree RS FR",,95.0,"Gentle, Carson FR",
NT,21.0,"Thomas, Omari SR",,10.0,"Simmons, Elijah RS SR",,53.0,"Hobbs, Daevin SO",,30.0,"Wallace, Jamal JR/TR",,,,
DT,20.0,"Eason, Bryson RS SR",,55.0,"Norman-Lott, Omarr SR/TR",,51.0,"Moi, Jaxson JR/TR",,94.0,"Robinson, Nathan RS FR",,,,
LEO,27.0,"Pearce Jr., James JR",,19.0,"Josephs, Joshua JR",,31.0,"Herring, Caleb SO",,29.0,"Ross, Jordan FR",,56.0,"Lindstrom, Kellen FR",
MLB,11.0,"Pili, Keenan RS SR/TR",,22.0,"Telander, Jeremiah SO",,13.0,"Spillman, Edwin FR",,,,,,,
WLB,7.0,"Carter, Arion SO",,8.0,"Perry, Kalib JR",,39.0,"Smith, Jalen RS FR",,,,,,,
LCB,3.0,"McCoy, Jermod SO/TR",,6.0,"McMurray, Jalen RS JR/TR",,28.0,"Goree Jr., Marcus FR",,,,,,,
SS,2.0,"Turrentine, Andre RS JR/TR",,12.0,"Slaughter, John SO",,15.0,"Farooq, Edrees FR",,,,,,,
FS,35.0,"Brooks, Will RS SR",,9.0,"Thomas, Jakobe RS JR/TR",,14.0,"Charles, Christian RS JR",,,,,,,
RCB,1.0,"Gibson III, Rickey SO",,24.0,"Matthews, Jordan RS FR",,25.0,"Beasley, Kaleb FR",,,,,,,
STAR,5.0,"Harrison, Christian RS SO",,23.0,"Carter, Boo FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,98.0,"Ross, Jackson RS SO",,94.0,"Turbyville, Josh RS SO",,,,,,,,,,
PK,90.0,"Gilbert, Max RS FR",,41.0,"Carver, JT RS JR",,,,,,,,,,
KO,94.0,"Turbyville, Josh RS SO",,41.0,"Carver, JT RS JR",,,,,,,,,,
LS,47.0,"Salansky, Matthew RS SR",,48.0,"Brady, Bennett RS SO",,58.0,"Box, Marshall FR",,,,,,,
H,98.0,"Ross, Jackson RS SO",,,,,,,,,,,,,
PR,3.0,"White, Squirrel JR",,,,,,,,,,,,,
KR,23.0,"Carter, Boo FR",,25.0,"Bishop, DeSean RS FR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,4.0,"Thomas, Jourdan JR",,23.0,"Seldon, Cameron SO",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Texas Longhorns,,,,,,,,,,,,,,,
WR-X,7.0,"Bond, Isaiah JR/TR",,5.0,"Wingo, Ryan FR",,13.0,"Livingstone, Parker FR",,,,,,,
WR-Z,2.0,"Golden, Matthew JR/TR",,1.0,"Cook II, Johntay SO",,14.0,"Butler, Aaron FR",,80.0,"Dubose, Freddie FR",,,,
WR-H,11.0,"Bolden, Silas JR/TR",,0.0,"Moore Jr., DeAndre SO",,21.0,"Niblett, Ryan RS FR",,,,,,,
LT,78.0,"Banks Jr., Kelvin JR",,74.0,"Goosby, Trevor RS FR",,75.0,"Chatman, Jaydon RS FR",,,,,,,
LG,76.0,"Conner, Hayden SR",,72.0,"Umeozulu, Neto RS SO",,79.0,"Stroh, Connor RS FR",,,,,,,
C,65.0,"Majors, Jake RS SR",,62.0,"Robertson, Connor RS SO",,51.0,"Cruz, Daniel FR",,,,,,,
RG,52.0,"Campbell, DJ JR",,54.0,"Hutson, Cole JR",,70.0,"Kibble, Nate FR",,,,,,,
RT,56.0,"Williams, Cameron JR",,73.0,"Baker, Brandon FR",,67.0,"Agbo, Malik RS SO",,77.0,"Cojoe, Andre RS FR",,,,
TE,85.0,"Helm, Gunnar SR",,8.0,"Niblack, Amari JR/TR",,81.0,"Davis, Juan SR",,84.0,"Washington, Jordan FR",,83.0,"Shannon, Spencer RS FR",
QB,3.0,"Ewers, Quinn RS JR/TR",,16.0,"Manning, Arch RS FR",,15.0,"Owens, Trey FR",,,,,,,
RB,4.0,"Baxter, CJ SO",,23.0,"Blue, Jaydon JR",,26.0,"Wisner, Quintrevion SO",,9.0,"Gibson, Jerrick FR",,6.0,"Clark, Christian FR",
DEF,,,,,,,,,,,,,,,
LDE,91.0,"Burke, Ethan JR",,8.0,"Moore, Trey RS JR/TR",,19.0,"Umeozulu, Zina FR",,,,,,,
LDT,95.0,"Collins, Alfred SR",,98.0,"Savea, Tiaoalii SR/TR",,53.0,"Bryant, Aaron RS SO",,90.0,"Mitchell, Sydir RS FR",,,,
RDT,15.0,"Norton, Bill GR/TR",,45.0,"Broughton, Vernon RS SR",,99.0,"Lole, Jermayne GR/TR",,94.0,"Bledsoe, Jaray RS SO",,55.0,"Hills III, Melvin FR",
RDE,88.0,"Sorrell, Barryn SR",,1.0,"Finkley, Justice JR",,92.0,"Vasek, Colton RS FR",,,,,,,
WLB,33.0,"Gbenda, David RS SR",,37.0,"Blackwell Jr., Morice SR",,26.0,"Smith, Ty'Anthony FR",,,,,,,
MLB,0.0,"Hill Jr., Anthony SO",,18.0,"Lefau, Liona SO",,40.0,"Gullette, Derion RS FR",,,,,,,
SLB,8.0,"Moore, Trey RS JR/TR",,11.0,"Simmons, Colin FR",,46.0,"Akana, Tausili RS FR",,,,,,,
FCB,13.0,"Cole, Jay'Vion JR/TR",,9.0,"Holmes, Gavin SR/TR",,24.0,"Roberson, Warren RS FR",,28.0,"Wilson, Santana FR",,,,
FS,4.0,"Mukuba, Andrew SR/TR",,16.0,"Taaffe, Michael RS JR",,25.0,"McDonald, Jelani SO",,,,,,,
BS,2.0,"Williams Jr., Derek SO",,21.0,"Filsaime, Xavier FR",,23.0,"Johnson-Rubell, Jordon FR",,,,,,,
BCB,5.0,"Muhammad, Malik SO",,6.0,"Black, Kobe FR",,27.0,"Mack, Wardell FR",,,,,,,
STAR,7.0,"Barron, Jahdae SR",,3.0,"Guilbeau, Jaylon JR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,39.0,"Kern, Michael FR",,49.0,"Ratliff, Ian SO",,,,,,,,,,
PK,45.0,"Auburn, Bert RS JR",,15.0,"Stone, Will JR",,,,,,,,,,
KO,15.0,"Stone, Will JR",,45.0,"Auburn, Bert RS JR",,,,,,,,,,
LS,58.0,"St. Louis, Lance JR",,52.0,"Haver, Tate SO",,57.0,"Rizzi, Christian RS JR",,,,,,,
H,49.0,"Ratliff, Ian SO",,,,,,,,,,,,,
PR,11.0,"Bolden, Silas JR/TR",,1.0,"Cook II, Johntay SO",,0.0,"Moore Jr., DeAndre SO",,,,,,,
KR,2.0,"Golden, Matthew JR/TR",,11.0,"Bolden, Silas JR/TR",,23.0,"Blue, Jaydon JR",,7.0,"Bond, Isaiah JR/TR",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Texas A&M Aggies,,,,,,,,,,,,,,,
WR-X,9.0,"Walker, Jahdae SR/TR",,2.0,"Bussey, Terry FR",,11.0,"Bostick, Jacob RS SO/TR",,87.0,"Bethel-Roman, Ashton FR",,,,
WR-Z,3.0,"Thomas, Noah JR",,6.0,"Allen, Cyrus JR/TR",,0.0,"Williams, Izaiah FR",,,,,,,
WR-SL,7.0,"Muhammad III, Moose RS SR",,4.0,"Tease, Micah SO",,23.0,"Campbell, Ernest FR",,,,,,,
LT,60.0,"Zuhn III, Trey RS JR",,78.0,"Crownover, Dametrious RS JR",,52.0,"Ivy, Blake FR",,70.0,"Bourdon, Robert FR",,,,
LG,71.0,"Bisontis, Chase SO",,74.0,"Ogunbiyi, Aki RS SR",,73.0,"Funk, Ashton FR",,,,,,,
C,61.0,"Faaiu, Kolinu'u RS JR/TR",,67.0,"Shanahan, TJ RS FR",,,,,,,,,,
RG,54.0,"Nabou Jr., Mark RS SO",,75.0,"Dewberry, Kam JR",,50.0,"Ahfua, Isendre FR",,,,,,,
RT,55.0,"Reed-Adams, Ar'maj RS SR/TR",,76.0,"Fatheree II, Reuben RS JR",,66.0,"Erb, Hunter RS SO",,,,,,,
TE,84.0,"Watson, Tre SR/TR",,18.0,"Green, Donovan RS SO",,82.0,"Calhoun, Shane SR/TR",,17.0,"Melin Öhrström, Theo RS SO",,,,
QB,15.0,"Weigman, Conner RS SO",,10.0,"Reed, Marcel RS FR",,13.0,"Henderson, Jaylen RS JR/TR",,16.0,"O'Neill, Miles FR",,,,
RB,8.0,"Moss, Le'Veon JR",,5.0,"Daniels, Amari RS JR",,22.0,"Smith, EJ RS SR/TR",,25.0,"DiNota, AJ RS SO",,,,
DEF,,,,,,,,,,,,,,,
LDE,11.0,"Scourton, Nic JR/TR",,92.0,"Sylla, Malick JR",,15.0,"Kennedy, Rylan SO",,42.0,"Jackson, Kendall FR",,,,
NT,17.0,"Regis, Albert RS JR",,13.0,"Hicks, DJ SO",,99.0,"Brownlow-Dindy, Gabriel RS SO",,88.0,"Taumanupepe, Samu RS FR",,,,
DT,5.0,"Turner, Shemar SR",,56.0,"Johnson, Rodas RS SR/TR",,53.0,"Scarlett, Jadon RS FR",,55.0,"Evans, Dealyn FR",,,,
RDE,4.0,"Stewart, Shemar JR",,18.0,"Howell, Cashius RS JR/TR",,94.0,"Celiscar, Josh GR/TR",,30.0,"Williams, Solomon FR",,,,
WLB,27.0,"Sanford, Daymion SO",,22.0,"DeShields, Solomon RS SR/TR",,32.0,"Jernigan, Tristan FR",,23.0,"Johnson, Chantz SO",,,,
MLB,21.0,"York, Taurean SO",,0.0,"Williams, Scooby RS JR/TR",,40.0,"Harris Jr., Martrell JR",,45.0,"Lockhart, Jordan FR",,,,
LCB,26.0,"Lee III, Will JR/TR",,14.0,"Thomas, Jayvon SO",,24.0,"Saunders, Donovan JR/TR",,,,,,,
SS,9.0,"Jones III, Trey RS SR/TR",,25.0,"Brooks, Dalton SO",,29.0,"Davis, Myles FR",,,,,,,
FS,1.0,"Anderson, Bryce JR",,3.0,"Ratcliffe, Marcus SO/TR",,33.0,"Kerr, Jarred JR",,28.0,"Pride, Jordan FR",,,,
RCB,10.0,"Ricks, Dezz RS FR/TR",,20.0,"Mayes, BJ SR/TR",,,,,,,,,,
NB,7.0,"Chappell, Tyreek SR",,8.0,"Hill, Jaydon RS SR/TR",,19.0,"Rogers, Bravion SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37.0,"White, Tyler RS FR",,33.0,"Andrews, Keegan JR/TR",,,,,,,,,,
PK,47.0,"Bond, Randy SR",,99.0,"Zirkel, Jared RS SR/TR",,,,,,,,,,
KO,47.0,"Bond, Randy SR",,99.0,"Zirkel, Jared RS SR/TR",,,,,,,,,,
LS,48.0,"Graham, Jacob RS SR",,49.0,"Able, Connor RS JR",,45.0,"Hancock, Levi RS SO",,42.0,"Graham, Jackson FR",,,,
H,37.0,"White, Tyler RS FR",,33.0,"Andrews, Keegan JR/TR",,,,,,,,,,
PR,7.0,"Muhammad III, Moose RS SR",,2.0,"Bussey, Terry FR",,,,,,,,,,
KR,2.0,"Bussey, Terry FR",,6.0,"Allen, Cyrus JR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,2.0,"Owens, Rueben SO",,1.0,"Barber, Jabre RS SR/TR",,6.0,"White, Enai JR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Vanderbilt Commodores,,,,,,,,,,,,,,,
WR-X,3.0,"Skinner Jr., Quincy SR",,1.0,"Wiley, Dariyan RS SR/TR",,87.0,"McVay, Joseph FR",,,,,,,
WR-Z,11.0,"Fouonji, Loic RS SR/TR",,15.0,"Dillon, Jeremiah RS SO/TR",,26.0,"Bell, Micah RS FR/TR",,,,,,,
WR-SL,0.0,"Sherrill, Junior SO",,5.0,"Hoskins, Richie RS JR/TR",,80.0,"Brown, Tristen FR",,,,,,,
LT,55.0,"Hansen, Gunnar RS JR",,73.0,"Clark, Charlie RS JR",,66.0,"Miles, Anthony RS FR",,,,,,,
LG,64.0,"Castillo, Delfin Xavier SR",,52.0,"Wesley, Kevo GR",,76.0,"Morgan, Grayson RS SO",,,,,,,
C,68.0,"Losoya, Steven GR/TR",,70.0,"McConnell, Cade RS SO/TR",,,,,,,,,,
RG,71.0,"Pitchford, Gage RS JR",,54.0,"Hubbard, Steven GR/TR",,69.0,"Starks, Cooper RS FR",,,,,,,
RT,50.0,"Mitchell, Chase GR/TR",,75.0,"Sandoval, Misael RS FR",,77.0,"Siegel, David RS SO",,,,,,,
TE,9.0,"Stowers, Eli RS JR/TR",,16.0,"Spence, Cole RS SO",,84.0,"Johnson, Kamrean SO",,45.0,"Adebi, Emmanuel GR/TR",,,,
QB,2.0,"Pavia, Diego SR/TR",,8.0,"Johnson, Nate RS SO/TR",,19.0,"Berlowitz, Blaze RS FR/TR",,7.0,"Dickey, Drew RS SO",,,,
RB,28.0,"Alexander, Sedrick SO",,23.0,"Newberry, AJ RS FR",,33.0,"Jones, Moni GR/TR",,13.0,"Gillespie, Chase RS SO",,,,
DEF,,,,,,,,,,,,,,,
DE,15.0,"Wood, Zaylin GR/TR",,95.0,"Zunk, Linus RS SO",,11.0,"Agu, Darren JR",,,,,,,
NT,5.0,"Ouattara, Yilanan JR",,98.0,"Thomas, De'Marion SO",,90.0,"Gregoire, Ted RS FR",,,,,,,
DT,99.0,"Lee, Devin SR",,91.0,"James, Christian GR",,94.0,"Mann, Bradley RS SO",,,,,,,
RAZOR,29.0,"Capers, Miles RS JR",,96.0,"Sydnor, Khordae RS JR/TR",,0.0,"DiCosmo, Aeneas GR/TR",,33.0,"Diakite, Boubacar JR",,,,
WLB,4.0,"Longwell, Bryan SO",,22.0,"Cowan, Bryce RS SO",,24.0,"Rinaldi, Nick RS SO",,,,,,,
MLB,10.0,"Patterson, Langston JR",,20.0,"Kollie, Prince RS JR/TR",,40.0,"Curtis, Jamison FR",,,,,,,
STAR,2.0,"Fontenette, Randon SO/TR",,12.0,"Ugochukwu, Jeffrey JR",,34.0,"Hampton, Maurice GR/TR",,39.0,"Lipford, Brail GR/TR",,,,
FCB,6.0,"Taylor, Kolbey RS JR/TR",,8.0,"Russell, Tyson SR",,17.0,"Davis, Mark GR/TR",,,,,,,
SS,1.0,"Taylor, CJ SR",,7.0,"Sewell, Marlen RS JR",,14.0,"Sannieniola, Steven RS SO",,,,,,,
FS,21.0,"Carter, Dontae FR",,19.0,"Wright, De'Rickey SR",,18.0,"Gilbert, Jalen RS FR",,,,,,,
BCB,25.0,"Hight, Martel SO",,30.0,"Berry, Trudell RS SO",,36.0,"Wright, Alan RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,29.0,"Mirco, Jesse GR/TR",,79.0,"Weasler, Conor RS FR",,,,,,,,,,
PK,88.0,"Taylor, Brock RS FR",,38.0,"Faris, Will RS JR",,43.0,"Conley, Will GR/TR",,40.0,"Rohmiller, Mason RS SO",,,,
KO,38.0,"Faris, Will RS JR",,88.0,"Taylor, Brock RS FR",,43.0,"Conley, Will GR/TR",,40.0,"Rohmiller, Mason RS SO",,,,
LS,48.0,"Ashby, Julian GR/TR",,51.0,"Gaw, Daniel RS JR",,,,,,,,,,
H,29.0,"Mirco, Jesse GR/TR",,79.0,"Weasler, Conor RS FR",,,,,,,,,,
PR,25.0,"Hight, Martel SO",,5.0,"Hoskins, Richie RS JR/TR",,23.0,"Newberry, AJ RS FR",,,,,,,
KR,0.0,"Sherrill, Junior SO",,80.0,"Brown, Tristen FR",,15.0,"Dillon, Jeremiah RS SO/TR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Appalachian State Mountaineers,,,,,,,,,,,,,,,
WR-X,13.0,"Horn, Christan RS SR",,8.0,"Stroman, Dalton RS JR",,18.0,"Short, Zavier RS SO/TR",,,,,,,
WR-Z,15.0,"Jackson, Makai JR/TR",,0.0,"Fowles, William RS FR/TR",,11.0,"Tucker, Grant RS FR",,,,,,,
WR-SL,2.0,"Robinson, Kaedin RS SR/TR",,12.0,"Hetzel, Michael RS JR",,82.0,"Lawson Jr., Chris RS FR",,25.0,"Hoban, Blake RS JR/TR",,,,
LT,72.0,"Samuel, Markell RS JR",,76.0,"Burgess, Luke RS FR/TR",,,,,,,,,,
LG,74.0,"Scroggs, Griffin RS SO/TR",,63.0,"Ramsey, Jayden RS JR",,64.0,"Marotta, Michael RS JR/TR",,,,,,,
C,52.0,"Sweatt, Cayden RS FR",,68.0,"Hollifield, Jack RS JR/TR",,,,,,,,,,
RG,70.0,"Gentry, Thornton RS JR/TR",,73.0,"Langlo, Garner RS JR/TR",,66.0,"Stevens, Danny RS FR",,,,,,,
RT,67.0,"Shrader, Thomas RS JR/TR",,79.0,"Dewerk, Andres RS JR/TR",,60.0,"Ryan, Ethan RS JR/TR",,,,,,,
TE,87.0,"Wilson, Eli RS SR",,85.0,"Larkins, David RS JR",,86.0,"Hamlett, Kanen RS SO",,80.0,"Drag, Max RS FR",,46.0,"Gibble, Jared RS JR/TR",
QB,4.0,"Aguilar, Joey SR/TR",,9.0,"Wiles, Billy RS JR/TR",,6.0,"Wilson, Matthew FR",,16.0,"Hernandez, David RS SR",,19.0,"Estep, Cameron RS FR",
RB,14.0,"Roberts, Kanye RS SO",,1.0,"Castle, Anderson RS JR",,28.0,"Haywood, Maquel SR/TR",,3.0,"Marshall, Ahmani RS SR/TR",,20.0,"Calhoun, Jaylon RS FR",
DEF,,,,,,,,,,,,,,,
LDE,12.0,"Collins, Shawn RS JR/TR",,95.0,"Kelley, Montez RS SR/TR",,97.0,"Abrams-Verwayne, Kevin RS JR/TR",,,,,,,
NT,9.0,"Clark, Markus JR",,45.0,"Campbell, Nick RS SO/TR",,91.0,"Donald, Joshua JR/TR",,,,,,,
RDE,29.0,"Hopper, Santana RS SO",,5.0,"Fletcher, Michael RS SR/TR",,96.0,"Wyatt, Josiah RS SO",,,,,,,
DOG,90.0,"Johnson, Nate SO",,15.0,"Davis, Thomas RS JR/TR",,,,,,,,,,
MLB,56.0,"Arnholt, Kyle RS JR",,33.0,"Farrar, Derrell RS SO",,8.0,"Harrington, Brendan RS SR",,,,,,,
WLB,26.0,"Sullivan, Caden RS JR",,44.0,"Gooch, Brodrick RS SO",,24.0,"Haynes, Cahari RS FR",,,,,,,
FCB,6.0,"Chambers, Jason JR/TR",,0.0,"Yowe, Trenton Alan RS JR/TR",,13.0,"Mc-Cantos, Elijah RS SO/TR",,,,,,,
SS,7.0,"Favors, Jordan RS JR",,21.0,"Burks, DJ RS SO",,28.0,"Gamble, Zyeir RS FR",,,,,,,
FS,4.0,"Farmer, Myles RS SR/TR",,27.0,"Clarke, Ronald RS SR",,10.0,"Phares, Colton RS FR",,,,,,,
BCB,2.0,"Johnson, Ethan JR",,16.0,"Robertson, Seth RS SR/TR",,,,,,,,,,
STAR,11.0,"Cole, Avarion RS JR/TR",,37.0,"Hamilton, Andre RS JR",,17.0,"Thomas, Jalik RS SR/TR",,25.0,"Fernandes, Kai FR",,,,
ST,,,,,,,,,,,,,,,
PT,49.0,"Lake, Mitchell SO",,41.0,"Maynard, Conner RS SR/TR",,,,,,,,,,
PK,99.0,"Hughes, Michael SR",,39.0,"Moore, Jackson RS FR/TR",,43.0,"McVay, Cash RS JR",,47.0,"Everett, Carter RS SO",,,,
KO,99.0,"Hughes, Michael SR",,39.0,"Moore, Jackson RS FR/TR",,43.0,"McVay, Cash RS JR",,47.0,"Everett, Carter RS SO",,,,
LS,42.0,"Johnstone, Christian RS SR",,54.0,"Simpkins, Gabriel SO/TR",,,,,,,,,,
H,49.0,"Lake, Mitchell SO",,41.0,"Maynard, Conner RS SR/TR",,,,,,,,,,
PR,2.0,"Robinson, Kaedin RS SR/TR",,15.0,"Jackson, Makai JR/TR",,,,,,,,,,
KR,2.0,"Robinson, Kaedin RS SR/TR",,15.0,"Jackson, Makai JR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Arkansas State Red Wolves,,,,,,,,,,,,,,,
WR-X,15.0,"Ealy, Reagan SR",,4.0,"Hornsby, Malik RS JR/TR",,81.0,"Lipscomb, Takare SO",,,,,,,
WR-Z,7.0,"Rucker, Corey RS JR/TR",,11.0,"Jones, Adam RS SR/TR",,3.0,"Summers, Hunter RS FR/TR",,,,,,,
WR-SL,9.0,"Jackson, Courtney RS SR/TR",,10.0,"Bryant, Tennel SO",,16.0,"Cobb, Chauncy RS FR",,,,,,,
LT,65.0,"Smith, Noah RS JR",,74.0,"Zollicoffer, Elijah JR",,58.0,"Ambrose, Cameron RS SO",,,,,,,
LG,71.0,"Butler, Mehki RS SR/TR",,50.0,"Woods, Austin RS JR",,52.0,"Myers, Mason RS FR",,,,,,,
C,73.0,"Bayer, Jacob SR/TR",,54.0,"Davis, Walker RS FR",,,,,,,,,,
RG,75.0,"Ndoma-Ogar, EJ RS JR/TR",,68.0,"Smith, Tristian RS JR/TR",,,,,,,,,,
RT,77.0,"Thomas, Makilan RS JR",,55.0,"Watson, Aleric RS SO",,72.0,"Braun, Tobias RS SR/TR",,,,,,,
TE,12.0,"Stevenson Jr., Manny SR",,13.0,"McCrumby, Miller JR",,87.0,"Little, Tyler SO",,17.0,"Bush, Jabari FR",,18.0,"Rexroat, James FR",
QB,1.0,"Raynor, Jaylen SO",,6.0,"McClain, Timmy RS JR/TR",,8.0,"Flowers, Josh FR",,19.0,"Miller, Ty FR",,,,
RB,2.0,"Cross, Ja'Quez RS JR/TR",,21.0,"Wallace, Zak RS SR/TR",,22.0,"Hawkins, Cedric SO",,20.0,"Sharpe II, Mike JR",,24.0,"Spencer, Devin FR",
DEF,,,,,,,,,,,,,,,
LDE,80.0,"Stephens, Kamari RS SR/TR",,32.0,"Hassler, Ethan SR",,22.0,"Jones, Jayden RS JR/TR",,,,,,,
LDT,45.0,"Martey, Nate SR/TR",,95.0,"Overton, Micaiah SR/TR",,40.0,"Jeffries, Ian RS FR",,,,,,,
RDT,90.0,"Hardiman, Tim RS JR",,17.0,"Toll, Blayne SR/TR",,47.0,"Banks, Lucas JR/TR",,,,,,,
RDE,1.0,"Bradley, Marcus RS JR/TR",,50.0,"Collins, Noah SR/TR",,4.0,"Whitehead, Bryan SR/TR",,,,,,,
WLB,36.0,"Willekes, Charles RS SR/TR",,5.0,"Ham, Marvin RS SR/TR",,10.0,"Sample, Jordan RS FR",,,,,,,
MLB,23.0,"Motley, Dane RS SR",,20.0,"Taylor, Kyle RS JR/TR",,27.0,"Williams, Jamil SO",,,,,,,
STAR,29.0,"Parks, Justin SR",,33.0,"Jeffery, Cam SR",,2.0,"Pearson, Chris SO/TR",,,,,,,
LCB,7.0,"Mahoney, Jordan SR/TR",,6.0,"Joyner, Dontay SO",,37.0,"Beale, AJ RS SO",,,,,,,
SS,9.0,"Thomas, Trevian SR",,19.0,"Reed III, James JR",,,,,,,,,,
FS,3.0,"Cole, Adrian RS SR/TR",,15.0,"Greil, Brandon SO",,12.0,"Etienne, Websley RS SO",,,,,,,
RCB,0.0,"Hodges, Justin SR/TR",,16.0,"Hood, Deaubry RS FR",,21.0,"Jackson, Braden FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,47.0,"Heicher, Ryan SR/TR",,86.0,"Honore, Brook RS SO/TR",,42.0,"Haines, Magnus RS JR/TR",,40.0,"Dunn, Jaxson FR",,,,
PK,32.0,"Ellison, Aidan RS JR",,34.0,"Van Andel, Clune SO",,25.0,"Amaya, Clayton FR",,,,,,,
KO,34.0,"Van Andel, Clune SO",,32.0,"Ellison, Aidan RS JR",,25.0,"Amaya, Clayton FR",,,,,,,
LS,38.0,"Bullard, Jack SR",,41.0,"Nicolson, Drew SO/TR",,31.0,"Ross, Xavier FR",,,,,,,
H,47.0,"Heicher, Ryan SR/TR",,86.0,"Honore, Brook RS SO/TR",,42.0,"Haines, Magnus RS JR/TR",,40.0,"Dunn, Jaxson FR",,,,
PR,9.0,"Jackson, Courtney RS SR/TR",,15.0,"Ealy, Reagan SR",,,,,,,,,,
KR,2.0,"Cross, Ja'Quez RS JR/TR",,15.0,"Ealy, Reagan SR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Coastal Carolina Chanticleers,,,,,,,,,,,,,,,
WR-X,8.0,"Tucker, Jameson RS JR",,0.0,"McKie, Senika GR/TR",,14.0,"Jones, Andre RS SO/TR",,81.0,"Cmiel, Connor GR/TR",,,,
WR-Z,9.0,"Meiga, Malick SR/TR",,17.0,"Wright, Cameron RS JR/TR",,80.0,"Whitby, Jamahdia SR/TR",,,,,,,
WR-SL,6.0,"Duplessis, Kyre RS SR",,4.0,"Graves, Bryson SO",,2.0,"Taylor, Tray JR/TR",,82.0,"Schuessler, Nathan RS FR",,,,
LT,62.0,"Del Grande, Nick RS SO",,68.0,"Hanson, Joseph SO",,,,,,,,,,
LG,51.0,"Edwards, Heston RS JR/TR",,73.0,"Walton, Anthony RS JR",,,,,,,,,,
C,58.0,"Johnson, Thomas RS JR",,50.0,"Thompson, Nathan RS FR",,54.0,"Richardson, Frankie RS SO",,,,,,,
RG,57.0,"Elam, Zac SR/TR",,67.0,"Manson, Donavan RS SR",,,,,,,,,,
RT,64.0,"Lindsay, Zovon GR/TR",,78.0,"Wagner, Tyler RS SR",,76.0,"Corey II, Marlon RS FR",,,,,,,
TE,85.0,"Karr, Kendall RS SR/TR",,11.0,"Johnson, Brooks RS SO",,33.0,"Courtney, Zach RS SO/TR",,86.0,"Grant III, John RS SO",,,,
QB,15.0,"Vasko, Ethan RS SO/TR",,10.0,"Kim, Noah RS SR/TR",,7.0,"Moore, DJ FR",,12.0,"Hudson, Tad RS FR/TR",,16.0,"Walker, Alex FR",
RB,1.0,"Bennett, Braydon RS SR",,5.0,"Simpkins, Ja'Vin SO",,3.0,"Balthazar, Max RS JR",,21.0,"Price, Simeon RS JR/TR",,20.0,"Washington, Christian RS SO/TR",
DEF,,,,,,,,,,,,,,,
DE,44.0,"Whitson, Will GR/TR",,47.0,"Anokwuru, Clinton RS SR/TR",,96.0,"Aguilar, Richie RS SR/TR",,,,,,,
NT,95.0,"Barber, Naejaun RS JR/TR",,99.0,"Goram-Welch, Sawyer RS SR/TR",,90.0,"Fuller, Cohen JR/TR",,,,,,,
